Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion
How cool is this?  Circa late 1960’s #cocacola https://t.co/YQuFwr9AxD,Sheldon Haygood,SheldonFox6,Fri Jun 25 02:29:41 +0000 2021,0,0,
RT @simplyshay: Check out Vintage Coca Cola Things Go Better With Coke Set of 4 Glasses Libbey 1960 1969 #CocaCola https://t.co/FZL6D8Rmhi…,Robin Vergason,AntiqTreasTrove,Fri Jun 25 02:23:38 +0000 2021,0,2,
"Commercial I did for Coca-Cola a few years ago @cocacolaquebec @cocacola @cocacola_ca #moojen #coke #cocacola #moojen9 #montreal #quebec @ Montreal, Quebec https://t.co/MFoEJbMmSH",Frederico Moojen,FredMoojen,Fri Jun 25 02:02:39 +0000 2021,3,0,
"RT @rolandsmartin: 🚨 #Throwback Alert 🚨 Olympic gold medalist @CullenJones Fam, it's the final countdown to the 2021 #EssenceFest of Cultur…",C.B 162,BetterWorld162,Fri Jun 25 01:52:55 +0000 2021,0,1,
"🚨 #Throwback Alert 🚨 Olympic gold medalist @CullenJones Fam, it's the final countdown to the 2021 #EssenceFest of Culture “Live Loud” Virtual Experience Presented by #CocaCola! WATCH LIVE on https://t.co/SQ675jG90n June 25-27 &amp; July 2-4. #cocacola #BlackLove #blackexcellence https://t.co/yyLECGBBpj",rolandsmartin,rolandsmartin,Fri Jun 25 01:51:07 +0000 2021,7,1,"Washington, D.C."
"RT @CottageCindy: Check out Vtg. 1973 Coca Cola Serving Tray Flapper Girl 1925 Coke Advertisement 13"" x 10""  https://t.co/V4A8PZOt45 via @e…",SharonANDRenee,BohemianBound,Fri Jun 25 01:23:26 +0000 2021,0,16,"Palm Harbor, FL"
"RT @CottageCindy: Check out Vtg. 1973 Coca Cola Serving Tray Flapper Girl 1925 Coke Advertisement 13"" x 10""  https://t.co/V4A8PZOt45 via @e…",Bitchin Retro,RetroCEO,Fri Jun 25 01:22:37 +0000 2021,0,16,"Bitchintown, USA"
RT @news_ntd: A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might…,OilyCentric,TracyJ23sMom,Fri Jun 25 01:19:27 +0000 2021,0,12,"Michigan, USA"
Man it's always nice when you go to sporting events that serve the correct beverage of choice @CocaCola! #CocaCola #openhappiness,Tommy,tommy_cubillas,Fri Jun 25 01:16:22 +0000 2021,0,0,Disneyland Resort
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",Er.Praveen Yadav अभि.प्रवीण यादव🇮🇳,ErPraveenYadav_,Fri Jun 25 01:06:46 +0000 2021,0,32,SUPAUL PATNA BIHAR
"RT @critic_dd: Cristiano Ronaldo's Euro 2020 stunt costs Coca-Cola $4 billion
#CristianoRonaldo
#eFootballFRA
Meanwhile...
#CocaCola
Kaash…",Niharika Dixit,niharikadixit31,Fri Jun 25 01:05:04 +0000 2021,0,6,India
"RT @rolandsmartin: #EssenceFest 2012 #Throwback: Comedy Icons #DickGregory #PaulMooney Talk Post Racial America, #Obama, More. WATCH the 20…",Deborah Ann Johnson,DeborahAnnJohn7,Fri Jun 25 00:48:44 +0000 2021,0,6,
"RT @rolandsmartin: #EssenceFest 2012 #Throwback: Comedy Icons #DickGregory #PaulMooney Talk Post Racial America, #Obama, More. WATCH the 20…",Derby City Ravens,louravens2013,Fri Jun 25 00:45:50 +0000 2021,0,6,"Louisville, KY"
"RT @rolandsmartin: #EssenceFest 2012 #Throwback: Comedy Icons #DickGregory #PaulMooney Talk Post Racial America, #Obama, More. WATCH the 20…",DoingMe,Dude_Gotta_Go,Fri Jun 25 00:44:22 +0000 2021,0,6,
"RT @parkbogumfamiIy: 21.06.25 🤗
20.06.25 | 
@BOGUMMY's summer vacation, ""Full of fresh charm.""

1 year ago . . .  . . ✍️  

 #박보검 #ParkBoGu…",雪芬,city660106,Fri Jun 25 00:42:33 +0000 2021,0,1,
"RT @rolandsmartin: #EssenceFest 2012 #Throwback: Comedy Icons #DickGregory #PaulMooney Talk Post Racial America, #Obama, More. WATCH the 20…",Kenneth T Whalum Jr.,kwhalum,Fri Jun 25 00:41:49 +0000 2021,0,6,"ÜT: 35.085686,-89.894912"
"RT @rolandsmartin: #EssenceFest 2012 #Throwback: Comedy Icons #DickGregory #PaulMooney Talk Post Racial America, #Obama, More. WATCH the 20…",Marsh Hadden,Bass32Man1,Fri Jun 25 00:41:00 +0000 2021,0,6,"Hempstead, NY"
