Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion,compound,pos_score,neg_score,neu_score,Tipo_Sentimiento
TanielMorales amp BarbaraLazara MexicanArtists radiointerview cocacola  is starting now Listen live here  ,Radio On,radio_on_berlin,Fri Jun 25 02:30:05 +0000 2021,0,0,Berlin,0.0,0.0,0.0,1.0,NEUTRO
Now  TanielMorales amp BarbaraLazara MexicanArtists Radiointerview cocacola   tune in here  ,Radio On,radio_on_berlin,Fri Jun 25 02:30:00 +0000 2021,0,0,Berlin,0.0,0.0,0.0,1.0,NEUTRO
How cool is this  Circa late ’s cocacola ,Sheldon Haygood,SheldonFox6,Fri Jun 25 02:29:41 +0000 2021,1,0,,0.3182,0.223,0.0,0.777,POSITIVO
 Check out Vintage Coca Cola Things Go Better With Coke Set of  Glasses Libbey   CocaCola ,Robin Vergason,AntiqTreasTrove,Fri Jun 25 02:23:38 +0000 2021,0,2,,0.4404,0.132,0.0,0.868,POSITIVO
Commercial I did for CocaCola a few years ago   ca moojen coke cocacola moojen montreal quebec  Montreal Quebec ,Frederico Moojen,FredMoojen,Fri Jun 25 02:02:39 +0000 2021,3,0,,0.0,0.0,0.0,1.0,NEUTRO
  Throwback Alert  Olympic gold medalist  Fam its the final countdown to the  EssenceFest of Cultur…,C.B 162,BetterWorld162,Fri Jun 25 01:52:55 +0000 2021,0,1,,0.296,0.109,0.0,0.891,POSITIVO
 Throwback Alert  Olympic gold medalist  Fam its the final countdown to the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola WATCH LIVE on  June  amp July  cocacola BlackLove blackexcellence ,rolandsmartin,rolandsmartin,Fri Jun 25 01:51:07 +0000 2021,7,1,"Washington, D.C.",0.3595,0.065,0.0,0.935,POSITIVO
 Check out Vtg  Coca Cola Serving Tray Flapper Girl  Coke Advertisement  x    via …,SharonANDRenee,BohemianBound,Fri Jun 25 01:23:26 +0000 2021,0,16,"Palm Harbor, FL",0.0,0.0,0.0,1.0,NEUTRO
 Check out Vtg  Coca Cola Serving Tray Flapper Girl  Coke Advertisement  x    via …,Bitchin Retro,RetroCEO,Fri Jun 25 01:22:37 +0000 2021,0,16,"Bitchintown, USA",0.0,0.0,0.0,1.0,NEUTRO
ntd A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might…,OilyCentric,TracyJ23sMom,Fri Jun 25 01:19:27 +0000 2021,0,12,"Michigan, USA",-0.4404,0.066,0.148,0.786,NEGATIVO
Man its always nice when you go to sporting events that serve the correct beverage of choice  CocaCola openhappiness,Tommy,tommy_cubillas,Fri Jun 25 01:16:22 +0000 2021,0,0,Disneyland Resort,0.4753,0.14,0.0,0.86,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Er.Praveen Yadav अभि.प्रवीण यादव,ErPraveenYadav_,Fri Jun 25 01:06:46 +0000 2021,0,32,SUPAUL PATNA BIHAR,0.0258,0.106,0.101,0.793,POSITIVO
"dd Cristiano Ronaldos Euro  stunt costs CocaCola  billion
CristianoRonaldo
eFootballFRA
Meanwhile
CocaCola
Kaash…",Niharika Dixit,niharikadixit31,Fri Jun 25 01:05:04 +0000 2021,0,6,India,0.0,0.0,0.0,1.0,NEUTRO
 EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the …,Deborah Ann Johnson,DeborahAnnJohn7,Fri Jun 25 00:48:44 +0000 2021,0,6,,0.3612,0.128,0.0,0.872,POSITIVO
 EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the …,Derby City Ravens,louravens2013,Fri Jun 25 00:45:50 +0000 2021,0,6,"Louisville, KY",0.3612,0.128,0.0,0.872,POSITIVO
 EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the …,DoingMe,Dude_Gotta_Go,Fri Jun 25 00:44:22 +0000 2021,0,6,,0.3612,0.128,0.0,0.872,POSITIVO
"  
  
s summer vacation Full of fresh charm year ago       ️   박보검 ParkBoGu…",,city660106,Fri Jun 25 00:42:33 +0000 2021,0,1,,0.3182,0.133,0.0,0.867,POSITIVO
